Day,Month,Year,Month_Year,DXB_Daily_Avg_SR
1,Jan,2003,1-Jan-03,3.4
1,Feb,2003,1-Feb-03,3.5
1,Mar,2003,1-Mar-03,9.1
1,Apr,2003,1-Apr-03,48.9
1,May,2003,1-May-03,0.3
1,Jun,2003,1-Jun-03,0
1,Jul,2003,1-Jul-03,7.1
1,Aug,2003,1-Aug-03,2.5
1,Sep,2003,1-Sep-03,1.5
1,Oct,2003,1-Oct-03,5.7
1,Nov,2003,1-Nov-03,3
1,Dec,2003,1-Dec-03,7.5
1,Jan,2004,1-Jan-04,14.501
1,Feb,2004,1-Feb-04,0
1,Mar,2004,1-Mar-04,1.062333333
1,Apr,2004,1-Apr-04,2.15
1,May,2004,1-May-04,0.8
1,Jun,2004,1-Jun-04,2.36
1,Jul,2004,1-Jul-04,5.373461538
1,Aug,2004,1-Aug-04,3.55
1,Sep,2004,1-Sep-04,4.76173913
1,Oct,2004,1-Oct-04,4.577777778
1,Nov,2004,1-Nov-04,6.78275
1,Dec,2004,1-Dec-04,22.67027778
1,Jan,2005,1-Jan-05,19.3
1,Feb,2005,1-Feb-05,17.7
1,Mar,2005,1-Mar-05,6.9
1,Apr,2005,1-Apr-05,2.3
1,May,2005,1-May-05,2.2
1,Jun,2005,1-Jun-05,5.4
1,Jul,2005,1-Jul-05,9.4
1,Aug,2005,1-Aug-05,4.1
1,Sep,2005,1-Sep-05,5
1,Oct,2005,1-Oct-05,6.1
1,Nov,2005,1-Nov-05,6.2
1,Dec,2005,1-Dec-05,6.8
1,Jan,2006,1-Jan-06,0.8
1,Feb,2006,1-Feb-06,20.7
1,Mar,2006,1-Mar-06,8.3
1,Apr,2006,1-Apr-06,1
1,May,2006,1-May-06,0.2
1,Jun,2006,1-Jun-06,10.9
1,Jul,2006,1-Jul-06,2.1
1,Aug,2006,1-Aug-06,7.4
1,Sep,2006,1-Sep-06,11.3
1,Oct,2006,1-Oct-06,3.9
1,Nov,2006,1-Nov-06,8.5
1,Dec,2006,1-Dec-06,55
1,Jan,2007,1-Jan-07,1.6
1,Feb,2007,1-Feb-07,8.1
1,Mar,2007,1-Mar-07,18.8
1,Apr,2007,1-Apr-07,2.9
1,May,2007,1-May-07,1.3
1,Jun,2007,1-Jun-07,5.5
1,Jul,2007,1-Jul-07,2.5
1,Aug,2007,1-Aug-07,5.2
1,Sep,2007,1-Sep-07,4.2
1,Oct,2007,1-Oct-07,7
1,Nov,2007,1-Nov-07,0.6
1,Dec,2007,1-Dec-07,1.8
1,Jan,2008,1-Jan-08,45.8
1,Feb,2008,1-Feb-08,0.3
1,Mar,2008,1-Mar-08,0
1,Apr,2008,1-Apr-08,0.3
1,May,2008,1-May-08,1.3
1,Jun,2008,1-Jun-08,0
